Hallazgo;Fecha identificación
De un universo de 408 accidentes graves y fatales de origen laboral, ocurridos entre enero a julio 2022, se seleccionó una muestra de 50 casos, a fin de evaluar el contenido técnico de las investigaciones de accidentes, para determinar si se identificaron las causas raíz que originaron el siniestro, así como las causas de origen de los siniestros. Al respecto se constató lo siguiente: a) En un 40% (20) de los casos, las causas raíz descritas en los procesos de investigación de accidentes son insuficientes, respecto a los antecedentes que sustentan el informe técnico de cada siniestro, ya que no siempre, la metodología denominada “árbol de causas”, que permite determinar el origen del infortunio es utilizada conforme a la definición del regulador. b) En un 16% (8) de los casos, las medidas correctivas prescritas a las empresas en el proceso de investigación de accidentes son insuficientes, o carecen de precisión técnica para abordar las causas raíz que originaron el accidente. El detalle de los casos descritos en los literales precedentes, fue entregado a la administración para su análisis y gestión.;25/1/2022
De un universo de 408 accidentes graves y fatales de origen laboral, ocurridos entre enero a julio 2022, se seleccionó una muestra de 50 casos, a fin de evaluar el contenido técnico de las investigaciones de accidentes, para determinar si se identificaron las causas raíz que originaron el siniestro, así como las causas de origen de los siniestros. Al respecto se constató lo siguiente: a) En un 40% (20) de los casos, las causas raíz descritas en los procesos de investigación de accidentes son insuficientes, respecto a los antecedentes que sustentan el informe técnico de cada siniestro, ya que no siempre, la metodología denominada “árbol de causas”, que permite determinar el origen del infortunio es utilizada conforme a la definición del regulador. b) En un 16% (8) de los casos, las medidas correctivas prescritas a las empresas en el proceso de investigación de accidentes son insuficientes, o carecen de precisión técnica para abordar las causas raíz que originaron el accidente. El detalle de los casos descritos en los literales precedentes, fue entregado a la administración para su análisis y gestión;24/1/2022
Evaluado el cumplimiento del proceso entre agosto 2021 y julio de 2022, detectamos lo siguiente: a) Del universo de casos de prescripciones de medidas inmediatas (569) que debieron ser ctuadas, 60 se realizaron con posterioridad a las 48 horas desde la notificación del accidente b) Del universo de 408 prescripciones que les correspondía verificación, 49 casos fueron ejecutados en un plazo mayor a 90 días corridos desde la fecha de prescripción. Las demoras se grafican en el siguiente cuadro:;23/1/2022
a) Del universo de casos de prescripciones de medidas inmediatas (569) que debieron ser ctuadas, 60 se realizaron con posterioridad a las 48 horas desde la notificación del accidente b) Del universo de 408 prescripciones que les correspondía verificación, 49 casos fueron ejecutados en un plazo mayor a 90 días corridos desde la fecha de prescripción.;22/1/2022
a) Del universo de casos de prescripciones de medidas inmediatas (569) que debieron ser ctuadas, 60 se realizaron con posterioridad a las 48 horas desde la notificación del accidente b) Del universo de 408 prescripciones que les correspondía verificación, 49 casos fueron ejecutados en un plazo mayor a 90 días corridos desde la fecha de prescripción;21/1/2022
Para validar el estado de la seguridad de la , se contrató a la firma Deloitte, quien simulando ser usuarios internos y externos de la compañía, ejecutó “ataques” controlados sobre la red interna, Wifi, sitio web de la , así como también servicios web de cara a trabajadores y empresas afiliadas. Pese a importantes mejoras, la presente evaluación identificó algunas vulnerabilidades que obedecen a la existencia de fallas de seguridad e inadecuada configuración de mecanismos de control tanto en sistemas web como en servidores o dispositivos internos de la . A través del ejercicio de Ethical Hacking, se detectaron 9 vulnerabilidades de seguridad, de las cuales 3 corresponden a la red externa (sistemas y servicios web) y 6 correspondientes a la red interna (servidores y equipos de trabajo). Esta situación contrasta positivamente con la revisión del 2019, donde se identificaron 14 vulnerabilidades.;20/1/2022
De un universo de 1.422 actividades de prescripción de medidas, entregadas por la  a empresas adheridas que fueron infraccionadas por la DT en el período abril 2021 a marzo de 2022, se seleccionó una muestra de 115 casos con el propósito de evaluar la calidad y el contenido técnico de las rridas medidas, respecto a las situaciones infraccionadas por la DT. Al respecto, detectamos que en el 40% (46) de los casos la prescripción no es acorde a la infracción informada por la DT.;19/1/2022
Es responsabilidad de los organismos administradores asegurar que los datos reportados a los sistemas de la Superintendencia de Seguridad Social, sean consistentes, asegurando su totalidad, exactitud e integridad. Los organismos administradores deberán incorporar en el plan anual de auditoría interna, la revisión sobre la consistencia de los datos reportados a los sistemas de información de la Superintendencia de Seguridad Social”.;18/1/2022
Es responsabilidad de los organismos administradores asegurar que los datos reportados a los sistemas de la Superintendencia de Seguridad Social, sean consistentes, asegurando su totalidad, exactitud e integridad. Los organismos administradores deberán incorporar en el plan anual de auditoría interna, la revisión sobre la consistencia de los datos reportados a los sistemas de información de la Superintendencia de Seguridad Social”.;17/1/2022
En el libro IV del compendio, la SUSESO establece definiciones que los organismos administradores deben ejecutar ciertas actividades, cuando en las empresas adheridas ocurre un accidente grave o fatal, en especial, respecto a la investigación para determinar las causas que originaron los accidentes y así poder prescribir las medidas correctivas a fin de evitar siniestros similares en el futuro.;16/1/2022
En el libro IV del compendio, la SUSESO establece definiciones que los organismos administradores deben ejecutar ciertas actividades, cuando en las empresas adheridas ocurre un accidente grave o fatal, en especial, respecto a la investigación para determinar las causas que originaron los accidentes y así poder prescribir las medidas correctivas a fin de evitar siniestros similares en el futuro.;15/1/2022
En el libro IV del compendio, la SUSESO establece definiciones que los organismos administradores deben ejecutar ciertas actividades, cuando en las empresas adheridas ocurre un accidente grave o fatal, en especial, respecto a la investigación para determinar las causas que originaron los accidentes y así poder prescribir las medidas correctivas a fin de evitar siniestros similares en el futuro.;14/1/2022
En el libro IV del compendio, la SUSESO establece definiciones que los organismos administradores deben ejecutar ciertas actividades, cuando en las empresas adheridas ocurre un accidente grave o fatal, en especial, respecto a la investigación para determinar las causas que originaron los accidentes y así poder prescribir las medidas correctivas a fin de evitar siniestros similares en el futuro.;13/1/2022
"La autoridad instruyó en su compendio (libro IV) que: a)""&hellip;si como resultado del proceso de investigación de un accidente fatal, se concluye que éste se originó por falta de medidas preventivas que de haber sido tomadas por el empleador hubieran evitado el accidente, se deberá remitir al empleador, dentro de los 5 días hábiles siguientes al término de ese proceso, una comunicación señalando que la cotización adicional diferenciada que resulte del próximo proceso de evaluación por siniestralidad ctiva, será elevada en virtud del recargo previsto en el artículo 5&deg; del D.S. N&deg;67, adjuntando una copia del informe de investigación"". Asimismo, el libro IX indica que: b) ""&hellip;en el caso de los accidentes graves y fatales, los organismos administradores deberán remitir al SISESAT, el documento electrónico E-Doc 147&hellip;"" (notificación a la autoridad por incumplimiento del empleador cuando no haya implementado las medidas prescritas por el OAL tras un accidente grave o fatal).";12/1/2022
"La autoridad instruyó en su compendio (libro IV) que: a)""&hellip;si como resultado del proceso de investigación de un accidente fatal, se concluye que éste se originó por falta de medidas preventivas que de haber sido tomadas por el empleador hubieran evitado el accidente, se deberá remitir al empleador, dentro de los 5 días hábiles siguientes al término de ese proceso, una comunicación señalando que la cotización adicional diferenciada que resulte del próximo proceso de evaluación por siniestralidad ctiva, será elevada en virtud del recargo previsto en el artículo 5&deg; del D.S. N&deg;67, adjuntando una copia del informe de investigación"". Asimismo, el libro IX indica que: b) ""&hellip;en el caso de los accidentes graves y fatales, los organismos administradores deberán remitir al SISESAT, el documento electrónico E-Doc 147&hellip;"" (notificación a la autoridad por incumplimiento del empleador cuando no haya implementado las medidas prescritas por el OAL tras un accidente grave o fatal).";11/1/2022
"Conforme a lo establecido por la autoridad en su Compendio de Normas (libro IV), los Organismos Administradores de la Ley (OAL) deberán comunicar inmediatamente a la SUSESO, la ocurrencia de un accidente fatal (mediante correo electrónico). Asimismo, el libro IX, exige que en el caso de accidentes Graves y Fatales (GyF), los OAL deben enviar al regulador, a través del sistema denominado SISESAT, los documentos electrónicos relacionados: a) Notificación del accidente GyF (E-Doc 141); b) Prescripción de medidas inmediatas GyF (E-Doc 142); c) Informe del accidente (E-Doc 143); d) Identificación de causa del accidente GyF (E-Doc 144); e) Prescripción de medidas definitivas (E-Doc 145); f) Verificación de implementación de medidas GyF (E-Doc 146); g) Notificación de incumplimiento al regulador sobre el incumplimiento de implementación de medidas GyF (E-Doc 147) y h) Recarga de la tasa de cotizaciones por incumplir medidas prescritas (E-Doc 148). Adicionalmente, el Manual de Ejecución del Experto - Investigación de Accidentes, en su acápite ""modelo de atención de visitas a ctuar para la investigación de accidentes graves y fatales"", define que la prescripción de medidas inmediatas y de su verificación.";10/1/2022
"Conforme a lo establecido por la autoridad en su Compendio de Normas (libro IV), los Organismos Administradores de la Ley (OAL) deberán comunicar inmediatamente a la SUSESO, la ocurrencia de un accidente fatal (mediante correo electrónico). Asimismo, el libro IX, exige que en el caso de accidentes Graves y Fatales (GyF), los OAL deben enviar al regulador, a través del sistema denominado SISESAT, los documentos electrónicos relacionados: a) Notificación del accidente GyF (E-Doc 141); b) Prescripción de medidas inmediatas GyF (E-Doc 142); c) Informe del accidente (E-Doc 143); d) Identificación de causa del accidente GyF (E-Doc 144); e) Prescripción de medidas definitivas (E-Doc 145); f) Verificación de implementación de medidas GyF (E-Doc 146); g) Notificación de incumplimiento al regulador sobre el incumplimiento de implementación de medidas GyF (E-Doc 147) y h) Recarga de la tasa de cotizaciones por incumplir medidas prescritas (E-Doc 148). Adicionalmente, el Manual de Ejecución del Experto - Investigación de Accidentes, en su acápite ""modelo de atención de visitas a ctuar para la investigación de accidentes graves y fatales"", define que la prescripción de medidas inmediatas y de su verificación.";9/1/2022
La Política General de Seguridad de la Información establece la necesidad de adoptar medidas para resguardar los activos de información contenidos en cualquier medio de almacenamiento. Asimismo, en el punto 5.5 de la misma, menciona que se deben reducir las brechas de accesos y gestionar los riesgos del ciberespacio, a través de la identificación y gestión de vulnerabilidades o potenciales amenazas.;8/1/2022
La Política General de Seguridad de la Información establece la necesidad de adoptar medidas para resguardar los activos de información contenidos en cualquier medio de almacenamiento. Asimismo, en el punto 5.5 de la misma, menciona que se deben reducir las brechas de accesos y gestionar los riesgos del ciberespacio, a través de la identificación y gestión de vulnerabilidades o potenciales amenazas.;7/1/2022
La Política General de Seguridad de la Información establece la necesidad de adoptar medidas para resguardar los activos de información contenidos en cualquier medio de almacenamiento. Asimismo, en el punto 5.5 de la misma, menciona que se deben reducir las brechas de accesos y gestionar los riesgos del ciberespacio, a través de la identificación y gestión de vulnerabilidades o potenciales amenazas.;6/1/2022
Condición (Situación evidenciada): En el período comprendido desde el 2 noviembre 2022 al 30 de septiembre 2023 se diagnosticaron 947 enfermedades profesionales, correspondientes a 802centros de trabajo. Al respecto, tras revisar las evidencias sistémicas al cierre de noviembre del presente año, constatamos 44centros (equivalentes a 45 EP) que no han iniciado su programa de vigilancia ambiental, situación que contraviene a los protocolos establecidos por la autoridad. Cabe señalar que la situación descrita ya había sido observada en el reporte GAI-011/2019, ocasión en la que se detectaron 24 casos y pese a la implementación de los planes de acción, persiste el hallazgo.;5/1/2022
Condición (Situación evidenciada): En el período comprendido desde el 2 noviembre 2022 al 30 de septiembre 2023 se diagnosticaron 947 enfermedades profesionales, correspondientes a 802centros de trabajo. Al respecto, tras revisar las evidencias sistémicas al cierre de noviembre del presente año, constatamos 44centros (equivalentes a 45 EP) que no han iniciado su programa de vigilancia ambiental, situación que contraviene a los protocolos establecidos por la autoridad. Cabe señalar que la situación descrita ya había sido observada en el reporte GAI-011/2019, ocasión en la que se detectaron 24 casos y pese a la implementación de los planes de acción, persiste el hallazgo.;4/1/2022
Condición (Situación evidenciada): En el período comprendido desde el 2 noviembre 2022 al 30 de septiembre 2023 se diagnosticaron 947 enfermedades profesionales, correspondientes a 802centros de trabajo. Al respecto, tras revisar las evidencias sistémicas al cierre de noviembre del presente año, constatamos 44centros (equivalentes a 45 EP) que no han iniciado su programa de vigilancia ambiental, situación que contraviene a los protocolos establecidos por la autoridad. Cabe señalar que la situación descrita ya había sido observada en el reporte GAI-011/2019, ocasión en la que se detectaron 24 casos y pese a la implementación de los planes de acción, persiste el hallazgo.;3/1/2022
"Condición (Situación evidenciada): Analizadas las verificaciones de medidas prescritas y las elaboraciones de Informes de Nóminas de Expuestos (INE&acute;s), observamos lo siguiente: a) Extraída la data del sistema Salesforce al cierre de noviembre de 2023, respecto a las visitas ambientales que generaron prescripciones de medidas en el período mayo a noviembre de 2022, detectamos que el 25% de las evaluaciones cuantitativas y el 52% de las cualitativas no cuentan con evidencia documental sistémica que sustente la posterior verificación de la implementación de las rridas medidas, sobre los centros de trabajo vigentes. Los cuadros siguientes grafican de manera detallada la situación descrita por agente de riesgo: E. Cuantitativas 25% (628 / 2.559) Ruido Sílice MMC TMERT Vibraciones Rad. Ionizantes Metales pesados Calor 321 / 1.247 (26%) 87 / 340 (26%) 100 / 586 (17%) 33 / 248 (13%) 44 / 78 (56%) 20 / 32 (63%) 18 / 20 (90%) 5 / 8 (63%) E. Cualitativas 52% (1.144 / 2.192) Sílice Plaguicida Radiación UV Hipobaria Citostáticos Uso de la voz Dermatitis Asbesto 241 / 577 (42%) 154 / 381 (40%) 576 / 1.038 (55%) 29 / 41 (71%) 32 / 32 (100%) 45/ 47 (96%) 60 / 69 (87%) 7 / 7 (100%) b) De las evaluaciones sin evidencia de verificación (1.772) detalladas en el literal anterior, 28 no han generado los respectivos INE al 22.12.2023, pese a que estas evaluaciones corresponden al período mayo a noviembre de 2022. Por tanto, los trabajadores involucrados no han sido traspasados al programa de vigilancia de la salud. Ello sin perjuicio que la elaboración de INE&acute;s depende de las empresas. Cabe señalar que, las situaciones descritas ya habían sido observadas en el reporte GAI-011/2019, ocasión en la que se detectaron 1.564 casos de verificación y control no ejecutadas y 37 INE&acute;s no elaborados.";2/1/2022
"Condición (Situación evidenciada): Analizadas las verificaciones de medidas prescritas y las elaboraciones de Informes de Nóminas de Expuestos (INE&acute;s), observamos lo siguiente: a) Extraída la data del sistema Salesforce al cierre de noviembre de 2023, respecto a las visitas ambientales que generaron prescripciones de medidas en el período mayo a noviembre de 2022, detectamos que el 25% de las evaluaciones cuantitativas y el 52% de las cualitativas no cuentan con evidencia documental sistémica que sustente la posterior verificación de la implementación de las rridas medidas, sobre los centros de trabajo vigentes. Los cuadros siguientes grafican de manera detallada la situación descrita por agente de riesgo: E. Cuantitativas 25% (628 / 2.559) Ruido Sílice MMC TMERT Vibraciones Rad. Ionizantes Metales pesados Calor 321 / 1.247 (26%) 87 / 340 (26%) 100 / 586 (17%) 33 / 248 (13%) 44 / 78 (56%) 20 / 32 (63%) 18 / 20 (90%) 5 / 8 (63%) E. Cualitativas 52% (1.144 / 2.192) Sílice Plaguicida Radiación UV Hipobaria Citostáticos Uso de la voz Dermatitis Asbesto 241 / 577 (42%) 154 / 381 (40%) 576 / 1.038 (55%) 29 / 41 (71%) 32 / 32 (100%) 45/ 47 (96%) 60 / 69 (87%) 7 / 7 (100%) b) De las evaluaciones sin evidencia de verificación (1.772) detalladas en el literal anterior, 28 no han generado los respectivos INE al 22.12.2023, pese a que estas evaluaciones corresponden al período mayo a noviembre de 2022. Por tanto, los trabajadores involucrados no han sido traspasados al programa de vigilancia de la salud. Ello sin perjuicio que la elaboración de INE&acute;s depende de las empresas. Cabe señalar que, las situaciones descritas ya habían sido observadas en el reporte GAI-011/2019, ocasión en la que se detectaron 1.564 casos de verificación y control no ejecutadas y 37 INE&acute;s no elaborados.";1/1/2022
"Condición (Situación evidenciada): Analizadas las verificaciones de medidas prescritas y las elaboraciones de Informes de Nóminas de Expuestos (INE&acute;s), observamos lo siguiente: a) Extraída la data del sistema Salesforce al cierre de noviembre de 2023, respecto a las visitas ambientales que generaron prescripciones de medidas en el período mayo a noviembre de 2022, detectamos que el 25% de las evaluaciones cuantitativas y el 52% de las cualitativas no cuentan con evidencia documental sistémica que sustente la posterior verificación de la implementación de las rridas medidas, sobre los centros de trabajo vigentes. Los cuadros siguientes grafican de manera detallada la situación descrita por agente de riesgo: E. Cuantitativas 25% (628 / 2.559) Ruido Sílice MMC TMERT Vibraciones Rad. Ionizantes Metales pesados Calor 321 / 1.247 (26%) 87 / 340 (26%) 100 / 586 (17%) 33 / 248 (13%) 44 / 78 (56%) 20 / 32 (63%) 18 / 20 (90%) 5 / 8 (63%) E. Cualitativas 52% (1.144 / 2.192) Sílice Plaguicida Radiación UV Hipobaria Citostáticos Uso de la voz Dermatitis Asbesto 241 / 577 (42%) 154 / 381 (40%) 576 / 1.038 (55%) 29 / 41 (71%) 32 / 32 (100%) 45/ 47 (96%) 60 / 69 (87%) 7 / 7 (100%) b) De las evaluaciones sin evidencia de verificación (1.772) detalladas en el literal anterior, 28 no han generado los respectivos INE al 22.12.2023, pese a que estas evaluaciones corresponden al período mayo a noviembre de 2022. Por tanto, los trabajadores involucrados no han sido traspasados al programa de vigilancia de la salud. Ello sin perjuicio que la elaboración de INE&acute;s depende de las empresas. Cabe señalar que, las situaciones descritas ya habían sido observadas en el reporte GAI-011/2019, ocasión en la que se detectaron 1.564 casos de verificación y control no ejecutadas y 37 INE&acute;s no elaborados.";31/12/2021
"Condición (Situación evidenciada): Analizadas las verificaciones de medidas prescritas y las elaboraciones de Informes de Nóminas de Expuestos (INE&acute;s), observamos lo siguiente: a) Extraída la data del sistema Salesforce al cierre de noviembre de 2023, respecto a las visitas ambientales que generaron prescripciones de medidas en el período mayo a noviembre de 2022, detectamos que el 25% de las evaluaciones cuantitativas y el 52% de las cualitativas no cuentan con evidencia documental sistémica que sustente la posterior verificación de la implementación de las rridas medidas, sobre los centros de trabajo vigentes. Los cuadros siguientes grafican de manera detallada la situación descrita por agente de riesgo: E. Cuantitativas 25% (628 / 2.559) Ruido Sílice MMC TMERT Vibraciones Rad. Ionizantes Metales pesados Calor 321 / 1.247 (26%) 87 / 340 (26%) 100 / 586 (17%) 33 / 248 (13%) 44 / 78 (56%) 20 / 32 (63%) 18 / 20 (90%) 5 / 8 (63%) E. Cualitativas 52% (1.144 / 2.192) Sílice Plaguicida Radiación UV Hipobaria Citostáticos Uso de la voz Dermatitis Asbesto 241 / 577 (42%) 154 / 381 (40%) 576 / 1.038 (55%) 29 / 41 (71%) 32 / 32 (100%) 45/ 47 (96%) 60 / 69 (87%) 7 / 7 (100%) b) De las evaluaciones sin evidencia de verificación (1.772) detalladas en el literal anterior, 28 no han generado los respectivos INE al 22.12.2023, pese a que estas evaluaciones corresponden al período mayo a noviembre de 2022. Por tanto, los trabajadores involucrados no han sido traspasados al programa de vigilancia de la salud. Ello sin perjuicio que la elaboración de INE&acute;s depende de las empresas. Cabe señalar que, las situaciones descritas ya habían sido observadas en el reporte GAI-011/2019, ocasión en la que se detectaron 1.564 casos de verificación y control no ejecutadas y 37 INE&acute;s no elaborados.";30/12/2021
Condición (Situación evidenciada): Extraída la data del sistema Salesforce al cierre del mes de noviembre de 2023, respecto a los plazos para reevaluar los agentes de riesgo como parte del programa de vigilancia ambiental, la información arroja que en el 19% de los centros de trabajo vigentes, las reevaluaciones se encuentran retrasadas, considerando un plazo de 3 años para los agentes ruido y TMERT (noviembre 2020 hacia atrás), 4 años para manejo manual de carga (noviembre 2019 hacia atrás) y 5 años para sílice con riesgo bajo (noviembre 2018 hacia atrás).;29/12/2021
Extraída la data del sistema Salesforce al cierre del mes de noviembre de 2023, respecto a los plazos para reevaluar los agentes de riesgo como parte del programa de vigilancia ambiental, la información arroja que en el 19% de los centros de trabajo vigentes, las reevaluaciones se encuentran retrasadas, considerando un plazo de 3 años para los agentes ruido y TMERT (noviembre 2020 hacia atrás), 4 años para manejo manual de carga (noviembre 2019 hacia atrás) y 5 años para sílice con riesgo bajo (noviembre 2018 hacia atrás).;28/12/2021
Al validar el envío de los reportes exigidos por la autoridad al cierre del mes de noviembre de 2023, constatamos que el 60% de éstos no han sido remitidos.;27/12/2021
2.4.- Observaciones sobre el \'Protocolo de seguimiento de trabajadores con enfermedad profesional de carácter crónico\'. i) En la sección 5.1 \'Plan de tratamiento y atención de salud\', específicamente en \'Apoyo psicológico cuando corresponda\', el protocolo se orienta exclusivamente a la búsqueda de un trastorno adaptativo. Sin embargo, considerando la cronicidad de las patologías y la variabilidad en la intensidad de su impacto en la salud mental, el paciente puede presentar diferentes patologías de salud mental, por ejemplo, episodios depresivos, trastornos de ansiedad, trastorno mixto de ansiedad y depresión, entre otros. En consecuencia, se solicita a esa Entidad ajustar el protocolo de tal forma que la exploración del estado de salud mental del paciente no se limite a la búsqueda de un trastorno adaptativo. ii) En la sección 5.2. \'Manejo según grupo diagnóstico\', se menciona \'A indicar por broncopulmonar/MDT\' como tratamiento de neumoconiosis. Considerando que las neumoconiosis son patologías progresivas y que el Compendio Normativo indica que el programa de seguimiento de trabajadores/as con enfermedades profesionales de carácter crónico debe especificar el tratamiento de salud integral para cada etapa del desarrollo de la enfermedad (número ii, de la letra a), del número 5, de la Letra B, del Título I, del Libro V), ese Organismo Administrador deberá explicitar el tratamiento diferenciado a otorgar en cada etapa de progresión de la enfermedad, incluyendo la necesidad de oxigenoterapia y tratamiento farmacológico, en caso de ser requerido iii) El protocolo no aborda los procedimientos ni plazos para asegurar el envío oportuno de los antecedentes a la COMPIN para la evaluación y para la revisión de la incapacidad permanente cuando producto de los controles periódicos se constate una agravación o mejoría de esa incapacidad que deba ser evaluada, según lo establecido en número iii, de la letra a), del número 5, de la Letra B, del Título I, del Libro V del Compendio Normativo. iv) El protocolo no incluye los procedimientos que permitan asegurar el registro y actualización de medios de contacto del trabajador/a, según lo establecido en la letra b), del número 5, de la Letra B, del Título I, del Libro V del Compendio Normativo. v) El protocolo no comprende los procedimientos de registro de información en SISESAT, según lo establecido en la letra e), del número 5, de la Letra B, del Título I, del Libro V del Compendio Normativo. vi) El protocolo no contiene indicadores de seguimiento de calidad de prestaciones ni de morbimortalidad asociada a las enfermedades profesionales, según lo establecido en la letra f), del número 5, de la Letra B, del Título I, del Libro V del Compendio Normativo.;26/12/2021
Se elaboró un Protocolo de Desvinculación en la que se dan consejos a la jefatura para abordar una desvinculación por necesidades de la empresa y por renuncia. No obstante, no contiene los puntos recomendados el 2019.;25/12/2021
"- La  cuenta con una Política de Contratación de Parientes, la cual tiene como objetivo garantizar un trato igualitario a todos los postulantes o trabajadores, velando por la transparencia y credibilidad de los procesos de selección de personal y concursos internos respectivamente. Lo anterior, a fin de evitar exclusiones o prrencias, sea por algún postulante o trabajador, por tener un vínculo de parentesco consanguíneo o por afinidad con algún otro trabajador o jefatura de la empresa. Asimismo, se procura prevenir futuros conflictos de intereses. Esta política contiene los siguientes temas: + Definiciones + Descripción + Anexos. - Los Principios y Guías de Conducta establecen en el punto N°6 la igualdad de oportunidades y no discriminación. Se establece que junto con el reconocimiento del valor y dignidad de las personas, la seguridad y la salud del trabajo, constituye un principio básico de actuación proporcionar las mismas oportunidades en el acceso al trabajo y en la promoción profesional, asegurando en todo momento la ausencia de situaciones de discriminación por razón de género u orientación sexual, raza, religión, discapacidad, pensamiento político, origen, estado civil o condición social. - La  cuenta con una Política de Reclutamiento y Selección de Talentos, la cual establece que se hace uso intensivo de todas las fuentes posibles de reclutamiento, buscando a los mejores, esto involucra asegurar la mejor formación académica posible para cada puesto, privilegiando dentro de las diferentes alternativas, los mejores centros educacionales del país y/o del extranjero. Además, se privilegia las experiencias laborales en las mejores empresas o instituciones según corresponda. La selección de candidatos se basará en los principios de Objetividad y Orientación a la Calidad; privilegiando la aplicación de herramientas de “medición de los candidatos” cuyo foco esté en evaluar las Competencias Organizacionales, Técnicas y Valores.";24/12/2021
- En base a lo conversado con la Gerente de la División de Personas, Camila Zacharías, con Juan Luis Moreno y con el Gerente General, existen mecanismo y procedimiento de evaluación de cargos clave. Si bien no se evidenció la existencia política formal de evaluación de desempeño de altos cargos, en las actas de Directorio se pudo oberservar que se discuten y revisan a nivel de directorio los Kpi\'s y metas de desempeño de gerentes de primera línea y su interrelación con los objetivos del gerente General y los objetivos estratégicos de la organización. - Asimismo, se evidenció en el acta de abril de 2022 y el presentación realizada por la gerenta de personas Camila Zacharías que la  está en proceso de cambio de su metodología de evaluación, igualando el método para todos sus colaboradores y aumentando el peso del elemento cualitativo. Para las jefaturas, subgerentes, gerentes y divisionales, se establece la siguiente distribución de porcentajes de evaluación: 40% elementos cualitativos, 30% modelo SMART, 30% resultados organizacionales. - Se observa que en el Código de Buenas Prácticas de Gobierno Corporativo no se establece como función del Gerente General establecer lineamientos de Evaluación de altos cargos.;23/12/2021
\'- La Gerencia de Asuntos Corporativos, posee dentro de su estructura una Subgerencia de Comunicaciones, la cual se encarga del Plan Estratégico de Información. Dentro de este Plan Estratégico, se consideran los avances dentro de los objetivos de la , proyectos, procesos de recursos humanos, dentro de otros. Par esto, existen diversos canales por medio de los cuales se entrega información oportuna y de calidad a los trabajadores. Alguno de los medios utilizados para transmitir información son: + Diario mural + Pantallas digitales + Otros. Cada proyecto tiene un Plan de Comunicación distinto, el cual es definido por el Comité de Cultura.;22/12/2021
Criterio: La Matriz de riesgo levantada en abril del año 2021 por la Subgerencia de Riesgo, indica que dentro de las responsabilidades del proceso de PMO, está verificar el cumplimiento normativo de las iniciativas y la Captación de beneficios esperados. Por otra parte, la mejor práctica para gestionar oficinas de proyectos denominada “Guía de los Fundamentos para la Dirección de Proyectos (PMBOK Guide)”, identifica ámbitos claves técnicos y generales para aplicar en los distintos proyectos, como son “Gestión de Proveedores”, “Ciberseguridad”, entre otros aspectos. Condición (Situación evidenciada): De la revisión practicada al proceso de PMO observamos las siguientes situaciones: 1) No existe un documento único y de conocimiento público que formalice los roles, responsabilidades, definiciones y ámbitos de acción de la PMO. Actualmente el área cuenta con presentaciones que sirven de guía, las que están desactualizadas y no consideran, en opinión de Auditoría Interna, temáticas relacionadas con gestión de proveedores y ciberseguridad, entre otras. 2) Actualmente la PMO no ejecuta actividades para verificar el “Cumplimiento normativo” de las iniciativas y la “Captación de beneficios esperados”, conforme a lo definido en la matriz de riesgos, definida internamente el año 2021. 3) Existen diferencias entre la Base de datos de proyectos (gestionados por la PMO: 58), los proyectos activos presentados al Comité de Inversiones (126), el Portal de iniciativas de Infraestructura (290) y el Portal de Iniciativas Tecnológicas (402). Situación que dificulta disponer de una visión general que permita gestionar el impacto y cumplimiento de los recursos comprometidos, en especial, respecto a los proyectos menores a UF 1.000, los que son aprobados por la PMO. Causa: Insuficiente metodología que permita cumplir con las responsabilidades y los ámbitos de acción de la PMO. Consecuencias (Riesgo): Impactos no esperados en el desarrollo de los proyectos, pudiendo repercutir en el beneficio esperado de cada proyecto, retrasos, incumplimientos normativos y/o exceso de recursos económicos.;21/12/2021
Criterio: La Matriz de riesgo levantada en abril del año 2021 por la Subgerencia de Riesgo, indica que dentro de las responsabilidades del proceso de PMO, está verificar el cumplimiento normativo de las iniciativas y la Captación de beneficios esperados. Por otra parte, la mejor práctica para gestionar oficinas de proyectos denominada “Guía de los Fundamentos para la Dirección de Proyectos (PMBOK Guide)”, identifica ámbitos claves técnicos y generales para aplicar en los distintos proyectos, como son “Gestión de Proveedores”, “Ciberseguridad”, entre otros aspectos. Condición (Situación evidenciada): De la revisión practicada al proceso de PMO observamos las siguientes situaciones: 1) No existe un documento único y de conocimiento público que formalice los roles, responsabilidades, definiciones y ámbitos de acción de la PMO. Actualmente el área cuenta con presentaciones que sirven de guía, las que están desactualizadas y no consideran, en opinión de Auditoría Interna, temáticas relacionadas con gestión de proveedores y ciberseguridad, entre otras. 2) Actualmente la PMO no ejecuta actividades para verificar el “Cumplimiento normativo” de las iniciativas y la “Captación de beneficios esperados”, conforme a lo definido en la matriz de riesgos, definida internamente el año 2021. 3) Existen diferencias entre la Base de datos de proyectos (gestionados por la PMO: 58), los proyectos activos presentados al Comité de Inversiones (126), el Portal de iniciativas de Infraestructura (290) y el Portal de Iniciativas Tecnológicas (402). Situación que dificulta disponer de una visión general que permita gestionar el impacto y cumplimiento de los recursos comprometidos, en especial, respecto a los proyectos menores a UF 1.000, los que son aprobados por la PMO. Causa: Insuficiente metodología que permita cumplir con las responsabilidades y los ámbitos de acción de la PMO. Consecuencias (Riesgo): Impactos no esperados en el desarrollo de los proyectos, pudiendo repercutir en el beneficio esperado de cada proyecto, retrasos, incumplimientos normativos y/o exceso de recursos económicos.;20/12/2021
